                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.85112,                 1.7952,                0.68839,                 1.1001,                0.78309,                0.70451,                0.73514,                0.47762,                0.92301,                0.58482,                0.69837,                0.38113,                  1.372,                  3.076,                 1.1755,                 1.5754,              0.0018258,              0.0018258,              0.0018258
                     25,                0.81159,                 1.7534,                0.64901,                 1.0849,                 0.7509,                0.66177,                0.68147,                 0.3928,                0.66786,                 0.5886,                0.61687,                0.33845,                 1.4277,                 2.6043,                 1.2708,                 1.6392,              0.0018178,              0.0018178,              0.0018178
                     26,                0.82441,                 1.6815,                0.64818,                  1.101,                0.74063,                0.70732,                0.70844,                0.40597,                0.74063,                0.70732,                0.70046,                0.35791,                 1.3275,                 2.5595,                 1.2591,                 1.4997,              0.0018099,              0.0018099,              0.0018099
                     27,                0.81897,                 1.7418,                0.63358,                 1.0885,                0.71828,                0.68409,                0.74258,                0.48463,                0.66872,                0.64014,                0.67845,                0.37568,                 1.3292,                 2.6503,                 1.1083,                 1.5071,               0.001802,               0.001802,               0.001802
                     28,                0.81249,                  1.708,                0.63298,                 1.0692,                0.74243,                0.70312,                0.70416,                0.39974,                0.74243,                0.70312,                0.69073,                 0.3351,                 1.3483,                 2.8723,                 1.3452,                 1.5912,              0.0017941,              0.0017941,              0.0017941
                     29,                0.82703,                 1.7577,                0.63772,                 1.0807,                0.81341,                0.78049,                0.76338,                0.47103,                0.81341,                0.78049,                0.74826,                0.40521,                 1.2069,                 2.7301,                 1.1538,                 1.4983,              0.0017862,              0.0017862,              0.0017862
                     30,                0.79877,                 1.6681,                0.62086,                 1.0757,                0.81383,                 0.7561,                0.79041,                0.46939,                0.81832,                0.70732,                0.75326,                0.39501,                 1.3993,                 3.0665,                  1.045,                 1.5735,              0.0017782,              0.0017782,              0.0017782
                     31,                0.81039,                 1.7449,                0.63791,                 1.0804,                0.64097,                 0.7561,                0.65956,                0.35229,                0.73061,                0.58537,                0.65879,                0.29956,                 1.4536,                  3.334,                 1.2854,                 1.6128,              0.0017703,              0.0017703,              0.0017703
                     32,                0.77248,                 1.6169,                0.60248,                 1.0601,                0.77595,                0.68293,                0.73988,                0.41278,                0.72901,                0.65854,                 0.7136,                 0.3514,                  1.376,                 3.1118,                 1.1691,                 1.6007,              0.0017624,              0.0017624,              0.0017624
                     33,                0.77917,                 1.6193,                0.59453,                 1.0691,                0.89545,                0.63415,                0.69005,                0.43329,                0.88413,                0.60976,                0.68616,                0.36468,                 1.4037,                  2.824,                 1.2414,                 1.5966,              0.0017545,              0.0017545,              0.0017545
                     34,                0.80021,                 1.6664,                0.61076,                 1.0694,                0.75475,                0.67567,                0.70952,                0.44411,                0.75475,                0.67567,                0.71157,                0.37674,                 1.2918,                 2.9906,                 1.2187,                 1.5527,              0.0017466,              0.0017466,              0.0017466
                     35,                0.79253,                 1.7009,                0.60831,                 1.0547,                0.87228,                0.66647,                0.72647,                0.44583,                0.84053,                0.64297,                0.68773,                0.36532,                 1.2125,                 2.9118,                 1.1009,                 1.5198,              0.0017386,              0.0017386,              0.0017386
                     36,                0.75035,                 1.5656,                0.57901,                 1.0584,                0.87377,                 0.6755,                0.72032,                0.47638,                0.87377,                 0.6755,                0.73144,                0.38065,                  1.322,                 2.7628,                 1.0653,                 1.6025,              0.0017307,              0.0017307,              0.0017307
                     37,                0.74962,                 1.6403,                0.60007,                 1.0626,                0.72467,                0.68293,                  0.688,                0.46343,                0.69879,                0.65854,                 0.6378,                0.31152,                 1.3337,                   2.95,                 1.1069,                 1.5435,              0.0017228,              0.0017228,              0.0017228
                     38,                0.74485,                 1.5612,                0.57685,                 1.0534,                0.77411,                0.68293,                0.69832,                0.45181,                0.74647,                0.65854,                0.66028,                0.33786,                 1.2922,                 2.7987,                 1.1614,                 1.4423,              0.0017149,              0.0017149,              0.0017149
                     39,                0.77983,                 1.6216,                0.60712,                 1.0639,                0.85319,                0.63415,                0.68682,                0.42362,                0.82037,                0.60976,                0.66072,                0.35244,                 1.3674,                 2.8196,                 1.2665,                 1.6093,               0.001707,               0.001707,               0.001707
                     40,                0.78442,                 1.5732,                0.60508,                 1.0689,                0.78749,                0.73171,                0.77679,                0.50155,                0.76124,                0.70732,                0.73476,                0.43475,                 1.1843,                 2.7331,                  1.013,                 1.5224,               0.001699,               0.001699,               0.001699
                     41,                0.75154,                 1.5578,                0.58765,                 1.0554,                0.79263,                 0.6527,                0.70325,                0.48483,                0.82218,                0.67677,                0.72014,                0.36912,                 1.1461,                  2.823,                 1.0613,                 1.4326,              0.0016911,              0.0016911,              0.0016911
                     42,                0.75296,                 1.5475,                0.57699,                  1.045,                0.90342,                0.70732,                0.77623,                0.49679,                0.90342,                0.70732,                0.76094,                0.38164,                 1.2907,                 2.8844,                 1.0388,                 1.5751,              0.0016832,              0.0016832,              0.0016832
                     43,                0.73952,                 1.5566,                0.56086,                  1.042,                0.72116,                0.69404,                0.72517,                0.47157,                0.74997,                0.73159,                0.73979,                0.36207,                 1.2401,                 2.7895,                 1.1382,                 1.5137,              0.0016753,              0.0016753,              0.0016753
                     44,                0.76756,                 1.6141,                0.58342,                 1.0522,                0.81867,                0.63415,                0.70497,                0.45944,                0.82238,                0.60976,                0.68053,                0.34763,                 1.2967,                 2.9305,                  1.225,                 1.5668,              0.0016674,              0.0016674,              0.0016674
                     45,                0.72074,                 1.5099,                0.55472,                 1.0359,                0.78161,                0.61109,                0.68947,                0.45761,                0.67484,                0.65854,                0.67444,                0.35971,                 1.3408,                 2.9413,                 1.3535,                 1.6462,              0.0016594,              0.0016594,              0.0016594
