                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.65497,                 1.3199,                0.47754,                0.99807,                0.85571,                0.72341,                0.78872,                  0.556,                0.82718,                0.70058,                0.74113,                0.45688,                 1.1486,                 2.7228,                0.92653,                 1.5176,               0.001208,               0.001208,               0.001208
                    103,                0.64872,                 1.3316,                0.48248,                 1.0083,                0.83823,                0.73171,                0.79107,                0.55155,                0.83823,                0.73171,                0.77237,                0.46474,                 1.1088,                 2.8857,                0.85561,                 1.4763,              0.0012001,              0.0012001,              0.0012001
                    104,                0.68867,                 1.4141,                0.50437,                 1.0107,                0.93104,                0.73171,                0.75341,                0.54719,                0.96208,                 0.7561,                0.79261,                0.45905,                 1.1141,                  2.906,                0.86991,                 1.5393,              0.0011922,              0.0011922,              0.0011922
                    105,                0.67173,                 1.3837,                 0.4951,                 1.0067,                0.71552,                0.80488,                0.75781,                0.52261,                0.72823,                0.71907,                0.70186,                0.40325,                 1.0864,                 2.8996,                0.97932,                 1.5731,              0.0011842,              0.0011842,              0.0011842
                    106,                0.65913,                 1.3301,                0.48421,                0.98605,                0.75479,                0.73171,                0.70013,                0.48706,                0.78149,                0.70732,                0.70044,                0.42949,                  1.104,                 2.9117,                 1.0244,                 1.5328,              0.0011763,              0.0011763,              0.0011763
                    107,                0.66939,                 1.3337,                0.48387,                0.99907,                0.73761,                0.82927,                0.75561,                0.52395,                0.69394,                0.78049,                 0.6963,                0.42401,                  1.062,                 3.0155,                0.93185,                 1.4557,              0.0011684,              0.0011684,              0.0011684
                    108,                 0.6494,                 1.3149,                0.47507,                0.98379,                0.80303,                0.80488,                0.78024,                0.52882,                0.77777,                0.78049,                0.73481,                0.44973,                 1.0945,                 2.7345,                 0.9245,                  1.473,              0.0011605,              0.0011605,              0.0011605
                    109,                0.64966,                 1.2632,                0.47204,                0.99741,                0.90501,                0.70732,                0.78438,                0.48485,                0.78011,                0.73171,                0.74214,                0.43107,                 1.2599,                 2.6788,                0.97651,                 1.5949,              0.0011526,              0.0011526,              0.0011526
                    110,                0.65279,                 1.3194,                0.47457,                0.99367,                0.70916,                0.78049,                0.71283,                0.44306,                0.69358,                0.68293,                 0.6144,                0.36664,                 1.2659,                 2.7332,                 1.1406,                 1.5194,              0.0011446,              0.0011446,              0.0011446
                    111,                0.66418,                 1.3526,                 0.4933,                 1.0043,                0.76565,                0.73171,                0.71631,                0.47038,                 0.7365,                0.70732,                0.68117,                0.37257,                 1.1331,                 2.8246,                 1.0929,                 1.4416,              0.0011367,              0.0011367,              0.0011367
                    112,                0.67845,                   1.35,                0.49295,                 1.0048,                0.81493,                 0.7519,                0.76143,                0.52776,                 0.7894,                0.73141,                 0.7195,                0.47398,                 1.1018,                 2.5362,                0.98409,                 1.4613,              0.0011288,              0.0011288,              0.0011288
                    113,                0.66422,                 1.3353,                0.48321,                0.99112,                0.81404,                0.74754,                0.76164,                0.53966,                0.78752,                0.72333,                 0.7311,                0.47816,                 1.0565,                 2.5118,                0.96834,                 1.4215,              0.0011209,              0.0011209,              0.0011209
                    114,                0.66581,                 1.3124,                0.48079,                0.99557,                 0.8587,                0.74129,                0.77802,                0.52393,                 0.8587,                0.74129,                0.76343,                0.46358,                 1.1214,                 2.7879,                 1.0418,                 1.5029,               0.001113,               0.001113,               0.001113
                    115,                0.67437,                 1.3294,                0.49138,                0.99803,                0.88128,                 0.7244,                0.76614,                0.50783,                0.88128,                 0.7244,                0.75805,                0.44294,                 1.1715,                 2.6981,                0.94639,                 1.5726,               0.001105,               0.001105,               0.001105
                    116,                0.64753,                 1.2805,                0.47592,                0.99108,                0.83497,                0.78049,                0.76577,                0.49403,                0.83497,                0.78049,                0.75597,                0.42901,                 1.1101,                 2.5922,                0.94654,                 1.5087,              0.0010971,              0.0010971,              0.0010971
                    117,                0.65044,                 1.3187,                0.47725,                 1.0002,                0.84657,                 0.7561,                0.77014,                0.50752,                0.84657,                 0.7561,                0.75902,                0.44549,                 1.1066,                 2.5583,                0.92647,                 1.4639,              0.0010892,              0.0010892,              0.0010892
                    118,                0.64667,                 1.3046,                0.46812,                0.98755,                0.84943,                0.68811,                0.77475,                0.51833,                0.81951,                0.66458,                0.73675,                0.42823,                 1.1833,                 2.6033,                0.94907,                 1.5337,              0.0010813,              0.0010813,              0.0010813
                    119,                0.62606,                 1.2689,                0.46303,                0.98011,                0.82533,                0.73171,                0.75622,                0.50042,                0.82533,                0.73171,                0.74928,                0.41928,                 1.1242,                 2.7875,                0.97831,                 1.5177,              0.0010734,              0.0010734,              0.0010734
                    120,                  0.649,                 1.3173,                0.47617,                0.98839,                 0.6818,                0.68293,                0.64581,                0.40772,                0.68388,                 0.6332,                0.62554,                0.33892,                  1.305,                 2.9256,                 1.3519,                 1.5715,              0.0010654,              0.0010654,              0.0010654
                    121,                0.63369,                 1.2587,                0.46094,                0.97503,                0.72477,                 0.7561,                0.74072,                0.47176,                0.81791,                0.60976,                0.68576,                0.41582,                 1.2571,                 2.5095,                 1.2132,                  1.509,              0.0010575,              0.0010575,              0.0010575
                    122,                0.61845,                 1.2996,                 0.4677,                0.99087,                0.76707,                0.80488,                0.73768,                0.47331,                0.74382,                0.78049,                 0.7235,                 0.4347,                 1.1538,                  2.366,                 1.0677,                 1.4624,              0.0010496,              0.0010496,              0.0010496
                    123,                0.66121,                 1.3072,                0.47724,                0.99915,                0.76289,                 0.7561,                0.72937,                0.48267,                0.73665,                0.73171,                0.69756,                0.40662,                 1.1937,                 2.5722,                 1.0137,                 1.5525,              0.0010417,              0.0010417,              0.0010417
                    124,                0.67834,                 1.3909,                0.47871,                 0.9946,                0.78562,                0.80442,                0.76709,                 0.5191,                 0.8459,                0.70732,                0.75459,                0.45421,                  1.138,                 2.5799,                0.97051,                 1.5159,              0.0010338,              0.0010338,              0.0010338
                    125,                0.65063,                 1.3142,                0.46545,                0.99672,                0.86095,                0.73171,                0.73513,                0.51867,                0.81176,                0.73633,                0.71781,                 0.4286,                  1.196,                 2.5055,                 1.0379,                 1.5225,              0.0010258,              0.0010258,              0.0010258
                    126,                0.60161,                 1.2213,                0.43831,                0.96573,                0.92926,                0.64098,                0.73597,                0.48666,                0.81418,                0.64134,                0.70607,                0.41936,                 1.2076,                   2.81,                 1.2403,                 1.5215,              0.0010179,              0.0010179,              0.0010179
                    127,                0.64929,                 1.3311,                0.48122,                0.99403,                0.90142,                0.66928,                0.75495,                0.49796,                0.86703,                0.63622,                0.70441,                0.41607,                 1.1869,                 2.9858,                 1.1847,                 1.5358,                0.00101,                0.00101,                0.00101
                    128,                0.63609,                 1.2927,                0.46253,                0.98026,                0.83351,                0.68293,                0.73184,                0.47289,                0.73901,                0.60976,                0.64767,                0.40555,                 1.2978,                  2.961,                 1.1167,                 1.6638,              0.0010021,              0.0010021,              0.0010021
                    129,                0.64391,                 1.2838,                0.46342,                0.98976,                  0.852,                0.70217,                0.75703,                0.50858,                0.79141,                0.63415,                0.68947,                0.43671,                 1.2225,                 2.8078,                0.97073,                 1.6574,             0.00099416,             0.00099416,             0.00099416
                    130,                0.64396,                 1.2819,                0.46657,                0.99284,                0.75485,                0.75112,                0.71556,                0.49847,                0.74983,                0.73171,                0.75203,                0.45081,                 1.2083,                 2.6637,                0.95636,                 1.6472,             0.00098624,             0.00098624,             0.00098624
                    131,                0.62583,                 1.2567,                0.45856,                0.98216,                0.80437,                0.80233,                0.77073,                0.56039,                0.78005,                0.77854,                0.75652,                0.48268,                 1.0782,                 2.5751,                0.89022,                 1.4369,             0.00097832,             0.00097832,             0.00097832
                    132,                0.63002,                 1.2757,                0.44747,                0.96146,                0.88029,                0.73171,                 0.7747,                0.53956,                 0.8208,                0.68293,                0.73225,                0.47976,                 1.1443,                 2.4992,                 1.0673,                 1.4301,              0.0009704,              0.0009704,              0.0009704
                    133,                0.63054,                 1.2496,                0.46026,                0.97606,                0.77763,                0.78049,                0.77116,                0.53717,                0.75333,                 0.7561,                0.73156,                0.46029,                 1.1278,                 2.7791,                 1.0567,                 1.3938,             0.00096248,             0.00096248,             0.00096248
                    134,                0.64818,                  1.262,                0.47054,                0.98509,                 0.8028,                0.73171,                0.75005,                0.51337,                0.74928,                0.68293,                0.68286,                0.43256,                 1.1857,                 3.0643,                 1.0842,                 1.4739,             0.00095456,             0.00095456,             0.00095456
                    135,                0.63095,                 1.2938,                0.47072,                0.98988,                0.68026,                0.70732,                0.69784,                0.47013,                0.65637,                0.68293,                0.66034,                0.42223,                 1.2285,                 2.9403,                 1.2559,                 1.5004,             0.00094664,             0.00094664,             0.00094664
                    136,                0.64989,                 1.2777,                0.46328,                0.98559,                0.87819,                0.65854,                0.73809,                0.50744,                0.91135,                0.68293,                0.75105,                 0.4483,                 1.2232,                 2.6241,                 1.0072,                 1.5683,             0.00093872,             0.00093872,             0.00093872
                    137,                0.61262,                 1.2752,                0.45076,                0.98446,                0.90536,                0.70011,                0.77178,                0.53456,                 0.8739,                0.67626,                0.73027,                 0.4666,                 1.1207,                 2.4105,                0.95086,                 1.5011,              0.0009308,              0.0009308,              0.0009308
                    138,                  0.619,                 1.2231,                0.45029,                0.97627,                0.83737,                0.73171,                0.77903,                0.51978,                0.80791,                0.70732,                0.73361,                0.48418,                 1.1553,                 2.3796,                 1.0835,                 1.4797,             0.00092288,             0.00092288,             0.00092288
                    139,                0.64441,                 1.2787,                0.46437,                0.98914,                0.81195,                 0.7561,                0.77365,                0.48881,                0.78548,                0.73171,                0.73236,                0.46321,                 1.2204,                 2.4901,                0.99099,                 1.5925,             0.00091496,             0.00091496,             0.00091496
                    140,                0.63695,                 1.1993,                0.46632,                0.98895,                0.76684,                 0.7561,                0.68356,                0.41816,                0.72489,                0.70732,                0.65553,                0.38224,                 1.2775,                 2.4897,                 1.1401,                 1.6091,             0.00090704,             0.00090704,             0.00090704
                    141,                0.62809,                 1.2545,                0.47307,                 0.9818,                0.77848,                0.78049,                0.74611,                0.45712,                0.75415,                 0.7561,                0.72084,                0.40319,                  1.342,                 2.6724,                 1.1279,                 1.5993,             0.00089912,             0.00089912,             0.00089912
                    142,                0.63981,                  1.265,                0.46251,                 0.9749,                0.68065,                 0.7561,                0.73089,                0.46303,                0.66475,                0.73171,                0.70049,                0.40286,                 1.2394,                 2.6923,                 1.1064,                 1.5055,              0.0008912,              0.0008912,              0.0008912
                    143,                0.62531,                 1.2247,                0.44521,                0.97714,                0.78013,                0.68293,                0.75175,                0.47495,                0.69883,                0.65854,                0.68622,                0.40629,                 1.2374,                 2.8133,                 1.1144,                 1.5384,             0.00088328,             0.00088328,             0.00088328
                    144,                0.61846,                 1.2331,                0.44675,                0.97618,                0.74388,                0.77925,                0.75186,                0.47816,                0.71957,                 0.7561,                0.70242,                0.41767,                 1.2346,                  2.588,                 1.0122,                 1.5855,             0.00087536,             0.00087536,             0.00087536
                    145,                0.62189,                 1.2378,                0.44719,                0.99554,                0.78079,                0.78049,                0.74785,                0.47619,                0.75354,                 0.7561,                0.70781,                0.43644,                 1.2453,                 2.5464,                 1.0257,                 1.5956,             0.00086744,             0.00086744,             0.00086744
                    146,                0.60794,                 1.2134,                0.45111,                0.96584,                0.77103,                0.80488,                 0.7426,                0.48234,                0.74767,                0.78049,                0.69916,                0.41518,                 1.2068,                 2.6995,                0.98106,                 1.5456,             0.00085952,             0.00085952,             0.00085952
                    147,                  0.634,                 1.2922,                0.45352,                 0.9798,                0.84209,                 0.7804,                0.76454,                0.50818,                0.84209,                 0.7804,                0.73581,                0.43306,                 1.2044,                 2.8991,                 0.9671,                  1.556,              0.0008516,              0.0008516,              0.0008516
                    148,                0.63559,                 1.2681,                0.45494,                0.98572,                0.84229,                0.78049,                0.77578,                0.51614,                0.86199,                0.78049,                0.76181,                0.47418,                   1.21,                 2.6988,                0.98451,                 1.5457,             0.00084368,             0.00084368,             0.00084368
                    149,                0.61291,                 1.2557,                0.45281,                0.98665,                0.86097,                0.75526,                0.79656,                0.52636,                0.86016,                0.75023,                0.78004,                0.46902,                  1.154,                 2.6541,                0.98899,                 1.5019,             0.00083576,             0.00083576,             0.00083576
                    150,                 0.6081,                 1.2238,                0.43797,                0.97492,                0.91162,                 0.7548,                0.78495,                0.55344,                0.91162,                 0.7548,                0.79581,                0.48204,                 1.0994,                 2.5459,                 0.9557,                  1.457,             0.00082784,             0.00082784,             0.00082784
