Size,T1,T2,T4,T8,T12,T16,T20,T24,T28,T32,T36,T40,T60,T80
20000,1.965328,1.043503,0.525826,0.264991,1.966740,0.145672,0.142709,0.164501,0.146049,0.084565,0.067357,0.067474,0.072912,0.056729
40000,7.896008,4.179173,2.129919,1.072375,8.112386,0.621031,0.728705,0.618775,0.498218,0.335228,0.361853,0.303868,0.287235,0.222745
